m1,m2,m3,m4,m5
-0.4018382652424124,0.11385854689712456,-0.1286135353361983,0.25049022002215376,0.0
0.0,0.0,1.5138518756848587,0.0,0.5724465592065813
0.0,-0.37950938284869074,0.0,0.0,0.0
-1.0225681172854326,1.7883105969447226,0.491606973879539,0.2375315398592059,0.9509549096094686
0.0,-1.048697920172347,0.0,0.0,0.0
0.2840327015491061,0.03339093683236561,-0.1966335723961328,-0.6297264823032871,-0.9521915225045998
0.0,0.0,0.0,0.34204634587243843,1.0957765223219655
0.0,0.0,0.592451483002081,-0.42361304481633366,0.0
-0.30352042778798893,0.7915195934557759,2.2216326279774234,0.657632339418571,-0.03456947659598064
0.35465507841271604,0.0,0.19885619257792417,0.0,-0.7835316743293657
0.07731309743203985,0.0,0.037885398704671225,0.0,0.691985238228557
0.0,-0.4519994459599556,0.0,0.0,0.0
0.0,-0.3888663412438317,-0.0037371515013825407,0.0,-0.06499612018103051
0.0,0.0,0.48728392386927755,-0.2787582288530376,0.0
-0.1846945082417485,0.0,0.0,0.0,0.0
0.6814352608042002,0.0,0.0,-0.7096452678819462,0.0
0.0,-0.5198405307973349,0.0,0.3387500330493978,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.726222541687077,0.0,0.5695624545451676
0.0,-2.034507335051436,0.0,-0.4668824392434179,0.0
0.0,0.0,0.0,-0.19779445668651097,0.0
-0.2665694919678544,0.0,0.8214765057562159,0.0,-0.009389820288286888
0.6964314831591476,0.0,0.0,0.0,0.0
0.10927976990600646,-0.027661299484526752,0.0,0.0,-0.564104490091625
0.0,0.0,0.0,0.39478214883469975,0.0
-0.4411820797636204,0.0,0.0,0.0,0.0
1.3738887426532935,2.3590196438499347,3.629703979748085,-5.541230166148244,1.7291542389060612
0.11084477783096883,-0.5914509923301052,0.4886559355232395,-0.1798230353165311,-0.01163098085999581
-0.6262854235843409,0.0,0.19388488842507556,0.0,0.0
0.0,0.0,0.0,0.0,-0.09983006820823064
-0.04228763920051154,0.0,-0.29493739468128755,0.5855508819954005,0.3951417322166513
0.0,0.8646498587991667,-0.11254190324467159,0.0,0.8325744125307347
0.0,-0.09033602609039704,0.0,0.0,-0.15850717319855911
0.2194836383946437,-0.847496804730181,0.0,0.4075418707484054,0.9532851322450407
0.0,0.0,0.0,0.0,0.0
0.879424407717086,-0.11508305054141052,0.04519969192699057,0.0,-0.4557022528462707
0.0,-0.6173364129019266,0.387204064343216,0.0,0.0
0.0,0.0,0.0,0.0,3.2057661218783027
-0.5151853839165298,0.30077889100346344,1.4809578832815231,-0.0010503010969915572,-0.8254057916487416
0.0,0.0,0.0,-0.33455690373838,0.0
-1.178885418372984,0.0,1.0705950848646308,2.463629851217947,-0.5485995921066513
-0.2024686109874727,0.0,0.0,0.0,0.0
0.0,0.9087399988801114,0.0,0.140564824949708,-0.3836465974017289
0.1615979498222767,0.0,0.0,0.0,-0.12678860425039107
-0.7095559786321324,0.0,0.0,0.0,-0.029397089078950944
-0.3359721686742203,0.5299425573700469,0.0,0.015930454993111035,-0.41061669176110044
0.0,-0.8937140163010292,3.0258321319050387,-0.7640147254739567,-0.18079855175268417
0.0,0.0,0.0,0.41199493418113753,0.0
0.0,-0.7158444102419699,0.0,0.0,-0.20676463434222453
0.0,0.0,0.914004185866906,0.6773444976353108,0.7848802646888421
